Substance_Recherchee,INCI_Name,CAS,Function,Restriction,SCCS_Opinion,Has_SCCS_URL,Source_URL,Statut
retinol,RETINOL,68-26-8,"RETINOL  Fermer  Export file is being prepared and will be automatically downloaded to your computer when ready.  Fermer  Export file has been downloaded to your computer.  PDF INCI Name  RETINOL  Description  Retinol is the organic compound that conforms to the formula:  CAS #  68-26-8 / 11103-57-4  EC #  200-683-7 / 234-328-2  Identified INGREDIENTS or substances e.g. (2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol;",,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,True,https://ec.europa.eu/growth/tools-databases/cosing/details/37479,TROUVE
titanium dioxide,TITANIUM/TITANIUM DIOXIDE,,TITANIUM/TITANIUM DIOXIDE  Fermer  Export file is being prepared and will be automatically downloaded to your computer when ready.  Fermer  Export file has been downloaded to your computer.  PDF INCI Name  TITANIUM/TITANIUM DIOXIDE  Description  Titanium/Titanium Dioxide is a composite of titanium and titanium dioxide.  CAS #   EC #   Identified INGREDIENTS or substances e.g.  Cosmetics Regulation provisions  VI/27,,http://ec.europa.eu/health/ph_risk/committees/sccp/documents/out135_en.pdf,True,https://ec.europa.eu/growth/tools-databases/cosing/details/95641,TROUVE
zinc oxide,CI 77947,1314-13-2,"CI 77947  Fermer  Export file is being prepared and will be automatically downloaded to your computer when ready.  Fermer  Export file has been downloaded to your computer.  PDF INCI Name  CI 77947  Description  CI 77947 is classed chemically as an inorganic colour (see also INCI: Zinc Oxide). It conforms to the formula:  CAS #  1314-13-2  EC #  215-222-5  Identified INGREDIENTS or substances e.g. Zinc oxide Cosmetics Regulation provisions  IV/144  Functions COLORANT SCCS opinions Go backCosIng - Cosmetics Ingredients This site is managed by the Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs  Accessibilité  Commission européenne  Contactez la Commission européenne  Suivre la Commission européenne sur les réseaux sociaux  Ressources pour les partenaires  Politique linguistique  Cookies  Politique de confidentialité  Mentions légales",,,False,https://ec.europa.eu/growth/tools-databases/cosing/details/98572,TROUVE
glycerin,GLYCERIN,56-81-5,"GLYCERIN  Fermer  Export file is being prepared and will be automatically downloaded to your computer when ready.  Fermer  Export file has been downloaded to your computer.  PDF INCI Name  GLYCERIN  Description  Glycerin is the polyhydric alcohol that conforms generally to the formula  CAS #  56-81-5  EC #  200-289-5  Identified INGREDIENTS or substances e.g.  Cosmetics Regulation provisions   Functions DENATURANTHAIR CONDITIONINGHUMECTANTORAL CARESKIN PROTECTINGSOLVENTVISCOSITY CONTROLLINGPERFUMINGFRAGRANCESKIN CONDITIONING - HUMECTANT SCCS opinions Go backCosIng - Cosmetics Ingredients This site is managed by the Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs  Accessibilité  Commission européenne  Contactez la Commission européenne  Suivre la Commission européenne sur les réseaux sociaux  Ressources pour les partenaires  Politique linguistique  Cookies  Politique de confidentialité  Mentions légales",,,False,https://ec.europa.eu/growth/tools-databases/cosing/details/34040,TROUVE
tocopherol,TOCOPHEROL,54-28-4,"TOCOPHEROL  Fermer  Export file is being prepared and will be automatically downloaded to your computer when ready.  Fermer  Export file has been downloaded to your computer.  PDF INCI Name  TOCOPHEROL  Description  Tocopherol consists of alpha-tocopherol, beta-tocopherol, delta-tocopherol and/or gamma-tocopherol and conforms to the formulae:  CAS #  54-28-4 (gamma)/ 16698-35-4(beta) / 10191-41-0(DL) / 119-13-1 / 1406-18-4 / 1406-66-2 / 2074-53-5 (DL) / 59-02-9 (D)/7616-22-0  EC #  200-201-5 / 240-747-1 / 233-466-0 / 204-299-0 /215-798-8 / - / 218-197-9 / 200-412-2 / -  Identified INGREDIENTS or substances e.g.  Cosmetics Regulation provisions   Functions ANTIOXIDANTFRAGRANCESKIN CONDITIONING - MISCELLANEOUSSKIN CONDITIONING - OCCLUSIVE SCCS opinions Go backCosIng - Cosmetics Ingredients This site is managed by the Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs  Accessibilité  Commission européenne  Contactez la Commission européenne  Suivre la Commission européenne sur les réseaux sociaux  Ressources pour les partenaires  Politique linguistique  Cookies  Politique de confidentialité  Mentions légales",,,False,https://ec.europa.eu/growth/tools-databases/cosing/details/80273,TROUVE
