source_name,url,domain,title,type_source,date,year,ingredient,ingredient_found_in_text,type_signal,summary_excerpt,confidence_score
lexology.com,https://www.lexology.com/library/detail.aspx?g=d735e4fb-ed60-4ad1-90e6-5db60812409d,lexology.com,EC Committee Publishes FinalOpinionon ColloidalSilver... - Lexology,unknown,2018,2018,silver,True,other,"On October 26, 2018, theEuropeanCommission (EC) Scientific Committee on ConsumerSafety(SCCS) published its finalopinionon colloidalsilver(nano). According to the finalopinion, the EC received 63 notifications ofcosmeticproducts containing colloidalsilverin nano form.",11
cirs-group.com,https://www.cirs-group.com/en/cosmetics/sccs-issued-final-opinion-on-the-safety-of-silver-zinc-zeolite,cirs-group.com,SCCSIssued FinalOpinionon theSafetyofSilverZinc... - CIRS Group,unknown,,,silver,True,other,"Europe.EuropeanUnion Collection ofSCCS'sOpiniononCosmeticIngredients.2, does theSCCSconsiderSilverZinc Zeolite safe when used as a preservative incosmeticproducts according to the specifications and concentration limits provided in the dossier submission?",11
criticalcatalyst.com,https://criticalcatalyst.com/silver-in-cosmetics-sccs-preliminary-opinion/,criticalcatalyst.com,SilverinCosmetics:SCCSpreliminaryopinion. – CRITICAL...,unknown,,,silver,True,other,"The recent preliminaryopinionfrom the Scientific Committee on ConsumerSafety(SCCS) regardingsilverincosmeticsis crucial for consumers and manufacturers. This article breaks down the key points, making it easier to understand the implications and stay informed.",11
cirs-group.com,https://www.cirs-group.com/en/cosmetics/sccs-issued-the-final-opinion-on-the-safety-of-silver,cirs-group.com,SCCS Issued the Final Opinion on the Safety of Silver,unknown,2024,2024,silver,True,other,"Jul 19, 2024 ·On July 3, 2024, the Scientific Committee on Consumer Safety (SCCS) of theEuropeanUnionissued final opinion onSilver(CAS/EC No. 7440-22-4/231-131-3, SCCS/1665/24). The preliminary opinion was released on March 27, 2023.",11
health.ec.europa.eu,https://health.ec.europa.eu/publications/sccs-scientific-advice-silver-used-cosmetic-products-casec-no-7440-22-4231-131-3_en,health.ec.europa.eu,SCCS- Scientific Advice onSilverusedincosmeticproducts...,official,,,silver,True,restriction,"2, does theSCCSconsider micron-sized particulateSilver[100 nm < particle diameter < 1 mm] safe whenusedup to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-oncosmeticproducts?",11
belabservices.com,https://www.belabservices.com/en/post/final-opinion-by-the-sccs-on-silver-and-triphenyl-phosphate,belabservices.com,Final opinion by theSCCSonsilverand Triphenyl Phosphate,unknown,,,silver,True,other,The Scientific Committee on Consumer Safety (SCCS) has evaluated the safety ofsilver(CAS/EC No. 7440-22-4/231-131-3)usedincosmeticproducts. This opinion is crucial for manufacturers and consumers as it ensures the safety ofcosmeticproductscontainingsilverparticles...,11
cosmetics.specialchem.com,https://cosmetics.specialchem.com/news/industry-news/ec-requests-sccs-for-opinion-on-silver-000232563,cosmetics.specialchem.com,European Commission RequestsSCCSfor Scientific Opinion onSilver,news,,,silver,True,restriction,"2, does theSCCSconsider micron-sized particulateSilversafe whenusedup to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-oncosmeticproducts?",11
researchgate.net,https://www.researchgate.net/publication/381927474_SCCS_Opinion_on_the_safety_of_Silver_CASEC_No_7440-22-4231-131-3_used_in_cosmetic_products_-_SCCS166524_-_Final_version,researchgate.net,SCCSOpinion on the safety ofSilver(CAS/EC No....),unknown,,,silver,True,other,"Silver(Ag; massive, powder and nanoform) and Ag compounds areusedinindustrial, medical and consumer applications, with potential for human exposure.Controlsreceiving ordinary tap water and mice given 0.002% AgNO3 showed no antinucleolar antibodies.",11
toxpartner.com,https://www.toxpartner.com/articles/butylparaben-sccs-opinion/,toxpartner.com,Butylparaben: Request forSCCSopinion - ToxPartner,news,,,silver,True,other,Silver: Request forSCCSopinion. The Commission requests theSCCSto carry out a safety assessment on micronsized particulateSilver(CAS/EC No. 7440-22-4/231-131-3)usedincosmeticproducts. The Committee has six months to deliver its Opinion.,11
nanotech-now.com,https://www.nanotech-now.com/columns/?article=1380,nanotech-now.com,Nanotechnology Now - EC Committee Publishes FinalOpinionon...,news,2018,2018,silver,True,other,"On October 26, 2018, theEuropeanCommission (EC) Scientific Committee on ConsumerSafety(SCCS) published its finalopinionon colloidalsilver(nano).",9
greenchemfinder.com,https://greenchemfinder.com/2025/11/18/silver-regulatory-update-for-cosmetics/,greenchemfinder.com,EU Ban on Metallic Silver in Cosmetics: What Formulators Need ...,unknown,2025,2025,silver,True,ban,"Nov 18, 2025 ·Allcosmeticproducts containing colloidalsilver(nano) must be removed from distribution channels, retail shelves, and online marketplaces throughout theEuropeanUnion.",9
vereinonline.org,https://www.vereinonline.org/vch/files/mailattachments/RSAnlagen2023/AP4_CLP_CA_15_2023_CLP_2022_ATP_ECHA_Response_to_comments_2.pdf,vereinonline.org,49 Meeting of Competent Authorities for REACH and CLP ...,unknown,,,silver,False,other,Summaries ofECHAresponse to comments on the RAC opinions for the 22nd ATP Assessment (RAC) which were adopted in 2 TheECHAresponses are summarised below. Detailed responses are provided in the Annexes to this document.,9
ekotox.eu,https://ekotox.eu/reporting-hazardous-mixtures-to-echa/,ekotox.eu,Reporting hazardous mixtures to ECHA - Ekotox EU,unknown,,,silver,False,other,Annex VIII to theCLPRegulation introduces a harmonized format for the submission of information by importers and downstream users to poison centres.,9
cosmeticobs.com,https://cosmeticobs.com/en/articles/echa-63/echa-rac-opinions-on-classification-of-4-cosmetic-ingredients-6413,cosmeticobs.com,"ECHA: RAC Opinions on classification of 4 ""cosmetic""",news,,,silver,False,safety_risk,TheRiskAssessment Committee (RAC) of the European Chemicals Agency (ECHA) has just adopted its Opinions on the classification and harmonised ...,9
ekotox.eu,https://ekotox.eu/silver-harmonization/,ekotox.eu,Silver – EU CLP classification harmonized - Ekotox EU,unknown,,,silver,True,other,"With the adoption of a harmonized classification, manufacturers, distributors, and users ofsilver-containing products now have to comply with updated safety and hazard classifications to ensure consistent labeling and handling of this chemical substance across the European Union.",8
cirs-group.com,https://www.cirs-group.com/en/cosmetics/sccs-issued-final-opinion-on-thiomersal-and-phenylmercuric-salts-as-peservatives-in-cosmetic-products?trk=article-ssr-frontend-pulse_little-text-block,cirs-group.com,SCCSIssued Final Opinion on Thiomersal and... - CIRS Group,news,,,silver,True,other,SCCSIssued Preliminary Opinion onSilverUsedinCosmeticProducts.,8
personalcareinsights.com,https://www.personalcareinsights.com/news/eu-bans-dangerous-cosmetic-ingredients.html,personalcareinsights.com,EU bans and restricts dozens of dangerous cosmetic ingredients,industry_watch,,,silver,False,safety_risk,"... European Commission is banning and restricting a wide range ofcosmeticingredients deemed unsafe, including commonly used substances like sodium ...",7
linkedin.com,https://www.linkedin.com/pulse/sccs-final-opinion-safety-silver-used-cosmetic-products-y22ff,linkedin.com,SCCS Final Opinion on the safety of Silver used in cosmetic,unknown,2024,2024,silver,True,other,"Aug 6, 2024 ·In October 2023, the Commission received a dossier to defend the safe use of micronsized particulateSilveras a conditioning agent incosmeticproducts. Following this, the Commission requests...",7
linkedin.com,https://www.linkedin.com/pulse/sccs-preliminary-opinion-silver-used-cosmetics-products-8fpde,linkedin.com,SCCSPreliminary Opinion onSilverusedincosmeticproducts,unknown,2024,2024,silver,True,safety_risk,"In June 2024, theSCCSconcluded in its Opinion that micron-sized particulateSilverwas not safe at concentrations up to 0.2% in rinse-off and 0.3% in leave-oncosmeticproductswhenusedalone or in combination.",7
linkedin.com,https://www.linkedin.com/pulse/sccs-published-its-final-opinion-safety-silver-used-cosmetic-smjpe,linkedin.com,SCCS Published Its Final Opinion on the Safety of Silver ... - LinkedIn,unknown,,,silver,True,other,"Silver(CAS/EC No. 7440-22-4/231-131-3) is widely used in thecosmeticindustry, thanks to its metallic and shimmery effect to various products.",5
