Name,CID,CAS,EC,Molecular formula,Molecular weight,IUPAC name,InChI,InChIKey,SMILES,XLogP,TPSA,Complexity,H-Bond Donors,H-Bond Acceptors,Rotatable Bonds,Heavy Atoms,Synonyms,GHS_Hazards,GHS_Precautions,Signal_Word,Pictograms,Hazard_Classes,Uses,Manufacturing,Exposure_Routes,Symptoms,First_Aid,Fire_Hazard,Stability
Aspirin,2244,50-78-2,,C9H8O4,180.16,2-acetyloxybenzoic acid,InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H;1H3;(H;11;12),BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,1.2,63.6,212,1,4,3,13,aspirin | ACETYLSALICYLIC ACID | 50-78-2 | 2-Acetoxybenzoic acid | 2-(Acetyloxy)benzoic acid | Acylpyrin | O-Acetylsalicylic acid | o-Acetoxybenzoic acid | Acenterine | Acetophen,H302 (95.6%): Harmful if swallowed [Warning Acute toxicity; oral] | H334: May cause allergy or asthma symptoms or breathing difficulties if inhaled [Danger Sensitization; respiratory] | H302: Harmful if swallowed [Warning Acute toxicity; oral],P261; P264; P264+P265; P270; P271; P280; P301+P317; P302+P352; P304+P340; P305+P351+P338; P319; P321; P330; P332+P317; P337+P317; P362+P364; P403+P233; P405; and P501 | P233; P260; P271; P273; P284; P304+P340; P342+P316; P403; and P501 | P203; P233; P260; P264; P264+P265; P270; P271; P280; P284; P301+P317; P304+P340; P305+P351+P338; P308+P316; P318; P319; P321; P330; P337+P317; P342+P316; P403; P405; and P501 | P203; P233; P260; P264; P264+P265; P270; P271; P280; P284; P301+P317; P304+P340; P305+P351+P338; P308+P316; P318; P319; P330; P332+P317; P337+P317; P342+P316; P403; P405; and P501,Warning,,,Treatment of polycythaemia vera | Anti-Inflammatory Agents; Non-Steroidal; Cyclooxygenase Inhibitors; Fibrinolytic Agents; Platelet Aggregation Inhibitors | Salicylates are indicated to relieve myalgia; musculoskeletal pain; and other symptoms of nonrheumatic inflammatory conditions such as athletic injuries; bursitis; capsulitis; tendinitis; and nonspecific acute tenosynovitis. /Included in US product labeling/,Acetylsalicylic acid is prepared by reacting acetic anhydride with salicylic acid at a temperature of <90 °C either in a solvent (e.g.; acetic acid or aromatic; acyclic; or chlorinated hydrocarbons) or by the addition of catalysts such as acids or tertiary amines. | Manufacture from salicylic acid and acetic anhydride. ... Crystallization from acetone..,Gastroenteral Use ;Oral Use; Oral Use; Intravenous Use; Dental Use | Excretion of salicylates occurs mainly through the kidney; by the processes of glomerular filtration and tubular excretion; in the form of free salicylic acid; salicyluric acid; and; additionally; phenolic and acyl glucuronides.   Salicylate can be found in the urine soon after administration; however; the entire dose takes about 48 hours to be completely eliminated. The rate of salicylate is often variable; ranging from 10% to 85% in the urine; and heavily depends on urinary pH.  Acidic urine generally aids in reabsorption of salicylate by the renal tubules; while alkaline urine increases excretion.  After the administration of a typical 325mg dose; the elimination of ASA is found to follow first order kinetics in a linear fashion. At high concentrations; the elimination half-life increases. | Aspirin is an acute irritant to ... the skin and eyes. Direct contact with the eye is painful ...,The substance is irritating to the eyes; skin and respiratory tract. Ingestion of large amounts could cause effects on the blood and central nervous system. | Animal tests show that this substance possibly causes toxic effects upon human reproduction. | IDENTIFICATION:  Acetylsalicylic acid is colorless or white crystals or white crystalline powder or granules; odorless or almost odorless with a slight acid taste.  It is soluble in water. Indications: It is used as an analgesic for the treatment of mild to moderate pain; as an anti-inflammatory agent for the treatment of soft tissue and joint inflammation; and as an antipyretic drug.  In low doses salicylate is used for the prevention of thrombosis. HUMAN EXPOSURE: The toxic effects of salicylate are complex.  The following appear to be the principal primary effects of salicylate in overdose:  Stimulation of the respiratory center; inhibition of citric acid cycle (carbohydrate metabolism); stimulation of lipid metabolism; inhibition of amino acid metabolism; and uncoupling of oxidative phosphorylation.  Respiratory alkalosis; metabolic acidosis; water and electrolyte loss occur as the principal secondary consequences of salicylate intoxication. Central nervous system toxicity (including tinnitus; hearing-loss; convulsions and coma); hypoprothrombinemia and non-cardiogenic pulmonary edema may also occur; though for some the mechanism remains uncertain.  Target organs: The target organs are: all tissues (whose cellular metabolism is affected); but in particular the liver; kidneys; lungs and the VIIIth cranial nerve. Summary of clinical effects: the following are symptoms of intoxication: Nausea; vomiting; epigastric discomfort; gastrointestinal bleeding (typically with chronic and rarely with acute intoxication); tachypnea and hyperpnea; tinnitus; deafness; sweating; vasodilatation;  hyperpyrexia (rare); dehydration; irritability; tremor; blurring of vision;  subconjunctival haemorrhages.  The following are the effects on blood glucose: hyper- or hypoglycemia; effects on blood: hypoprothrombinemia; effects on liver: increased serum aminotransferase  activities (SGOT and SGPT). Non-cardiogenic pulmonary edema; confusion; delirium; stupor; asterixis; coma; cerebral edema (with severe intoxication only); acute renal failure; cardio-respiratory arrest (with severe intoxication only). Absorption by route of exposure: After oral administration; 80 - 100% will be absorbed in the stomach and in the small intestine. However; bioavailability is lower because partial hydrolysis occurs during absorption and there is a 'first-pass' effect in the liver.  The non-protein bound fraction of salicylate increases with the total plasma concentration; and the binding capacity of albumin is partially saturated at therapeutic concentrations of salicylate.  The greater proportion of unbound drug found at high concentrations will mean that greater toxicity will result than would be expected from the total salicylate concentration. Absorption after rectal administration is slow and unpredictable.  Timed-release preparations are therapeutically of limited value because of the prolonged half-life of elimination of salicylate.  Contraindications: Acetylsalicylic acid is contraindicated for the following: Absorption of enteric-coated tablets is sometimes incomplete. Active peptic ulcer; febrile/post-febrile illness in children; hemostatic disorders; including anticoagulant and thrombolytic treatment; hypoproteinemia; hypersensitivity; and asthma induced by acetylsalicylic acid or other non-steroidal anti-inflammatory drugs. Caution is indicated in patients with: a history of peptic ulceration or gastro-intestinal hemorrhage; hepatic or renal insufficiency; asthma; children < 2 years; especially in those who are dehydrated Routes of entry: The route of entry is oral.  Distribution by route of exposure: Salicylic acid is a weak acid; following oral administration; almost all salicylate is found in the unionized form in the stomach. About 50 - 80% of salicylate in the blood is bound by protein while the rest remain in the active; ionized state; protein binding is concentration-dependent. Saturation of binding sites leads to more free salicylate and increased toxicity.  Metabolism: approximately 80% of small doses of salicylic acid is metabolised in the liver. Conjugation with glycine forms salicyluric acid and with glucuronic acid forms salicyl acyl and phenolic glucuronide. These metabolic pathways have only a limited capacity. Small amounts of salicylic acid are also hydroxylated to gentisic acid.  With large salicylate doses the kinetics switch from first order to zero order.  Elimination by route of exposure: salicylates are excreted mainly by the kidney as salicyluric acid; free salicylic acid; salicylic phenol and acyl glucuronides; and gentisic acid.,Fresh air; rest. Refer for medical attention. | Rinse skin with plenty of water or shower. Refer for medical attention .,This chemical is combustible. (NTP; 1992),STABLE IN DRY AIR; IN MOIST AIR IT IS GRADUALLY HYDROLYZED INTO SALICYLIC AND ACETIC ACIDS
Ibuprofen; (+-)-,3672,58560-75-1,,C13H18O2,206.28,2-[4-(2-methylpropyl)phenyl]propanoic acid,InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7;9-10H;8H2;1-3H3;(H;14;15),HEFNNWSXXWATRW-UHFFFAOYSA-N,,3.5,37.3,203,1,2,4,15,58560-75-1 | RefChem:6648 | IBUPROFEN; (+-)- | ibuprofen | 15687-27-1 | 2-(4-Isobutylphenyl)propanoic acid | Motrin | Brufen | Advil | Nurofen,H302 (100%): Harmful if swallowed [Warning Acute toxicity; oral] | H302: Harmful if swallowed [Warning Acute toxicity; oral],P203; P261; P264; P264+P265; P270; P271; P280; P301+P317; P304+P340; P305+P351+P338; P318; P319; P330; P337+P317; P403+P233; P405; and P501 | P203; P260; P263; P264; P270; P273; P280; P301+P317; P308+P316; P318; P319; P330; P391; P405; and P501,Warning,,,Patent ductus arteriosus in premature neonates of less than 34 weeks of gestational age | Treatment of patent ductus arteriosus | Analgesics; Non-Narcotic; Anti-Inflammatory Agents; Non-Steroidal; Cyclooxygenase Inhibitors,Prepn: J.S. Nicholson; S.S. Adams; GB971700; eidem US 3385886 (1964; 1968 both to Boots Pure Drug); T. Shiori; N. Kawai; J. Org. Chem. 43; 2936 (1978); J.T. Pinhey; B.A. Rowe; Tetrahedron Letters 21; 965 (1980). | Production: isobutylbenzene + acetyl chloride + triethylaluminum + potassium cyanide (Friedel-Crafts acylation/cyanohydrin formation/hydrogenation/nitrile hydrolysis),TABLET;ORAL | Topical use | Intravenous use,Signs and Symptoms of Overdose | Rates of serum aminotransferase elevations during low dose; chronic ibuprofen therapy are comparable to those that occur with placebo controls (0.4%). However; higher rates of ALT elevations occur with high; full doses of 2;400 to 3;200 mg daily (up to 16%). Generally; ALT elevations are mild and rarely above 100 U/L. Rare instances of drug fever arise within 1 to 4 weeks of starting ibuprofen which can be accompanied by serum aminotransferase elevations. If ibuprofen is continued in these situations; more severe liver injury and jaundice may arise. These outcomes may account for a rare case of hepatocellular injury attributed to conventional doses of ibuprofen. | ◈ What is ibuprofen?,When acute overdosage of ibuprofen occurs; the stomach should be emptied by inducing emesis or by lavage; particularly if there is evidence that the drug has been ingested recently (within 1 hour); and standard measures to maintain urine output should be instituted. Since ibuprofen is acidic and is excreted in the urine; alkaline diuresis might be beneficial.,,
Acetaminophen,1983,103-90-2,,C8H9NO2,151.16,N-(4-hydroxyphenyl)acetamide,InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5;11H;1H3;(H;9;10),RZVAJINKPMORJF-UHFFFAOYSA-N,,0.5,49.3,139,2,2,1,11,acetaminophen | Paracetamol | 4-Acetamidophenol | 103-90-2 | N-(4-Hydroxyphenyl)acetamide | Tylenol | APAP | 4'-Hydroxyacetanilide | Datril | Panadol,H302 (98.1%): Harmful if swallowed [Warning Acute toxicity; oral] | H401: Toxic to aquatic life [Hazardous to the aquatic environment; acute hazard] | H341: Suspected of causing genetic defects [Warning Germ cell mutagenicity] | H302: Harmful if swallowed [Warning Acute toxicity; oral],P264; P264+P265; P270; P273; P280; P301+P317; P302+P352; P305+P351+P338; P321; P330; P332+P317; P337+P317; P362+P364; and P501 | P273; P391; and P501 | P203; P260; P264; P270; P280; P308+P316; P318; P319; P321; P405; and P501 | P261; P264; P264+P265; P270; P271; P273; P280; P301+P317; P302+P352; P304+P340; P305+P351+P338; P319; P321; P330; P332+P317; P337+P317; P362+P364; P403+P233; P405; and P501,Warning,,,Analgesics; Non-Narcotic; Antipyretics | Ofirmev (acetaminophen) injection is indicated for  the management of mild to moderate pain the management of moderate to severe pain with adjunctive opioid analgesics the reduction of fever. /Included in US product label/ | Acetaminophen is used to provide temporary analgesia in the treatment of mild to moderate pain. Acetaminophen also is used in fixed combination with other agents (e.g.; chlorpheniramine; dextromethorphan; diphenhydramine; doxylamine; guaifenesin; phenylephrine; pseudoephedrine) for short-term relief of minor aches and pain; headache; and/or other symptoms (e.g.; rhinorrhea; sneezing; lacrimation; itching eyes; oronasopharyngeal itching; nasal congestion; cough) associated with seasonal allergic rhinitis (e.g.; hay fever); other upper respiratory allergies; or the common cold.,p-Nitrophenol is reduced and the resulting p-aminophenol is acetylated by means of heating with a mixture of acetic anhydride and glacial acetic acid. The crude product may be purified by recrystallization from an ethanol-water mixture. | Production is by the acetylation of 4-aminophenol. This can be achieved with acetic acid and acetic anhydride at 80 °C; with acetic anhydride in pyridine at 100 °C; with acetyl chloride and pyridine in toluene at 60 °C; or by the action of ketene in alcoholic suspension. 4-Hydroxyacetanilide also may be synthesized directly from 4-nitrophenol. The available reduction-acetylation systems include tin with acetic acid; hydrogenation over Pd-C in acetic anhydride; and hydrogenation over platinum in acetic acid.,TABLET;ORAL | Intravenous use | Rectal Use; Oral; Buccal Use ;Cutaneous Use ;Dental Use ;Nasal Use ;Oral Use; Buccal Use ;Cutaneous Use ;Oral Use; In Drinking Water Use; Intravenous Infusion; Oral Use; Intravenous Use; Solution For Infusion,Ingestion may cause effects on the kidneys and liver. This may result in impaired functions. | IDENTIFICATION AND USE: Acetaminophen is an odorless compound with a slightly bitter taste. It is a common analgesic and antipyretic agent used for the relief of fever as well as aches and pains associated with many conditions. HUMAN EXPOSURE AND TOXICITY: Nausea; vomiting; and abdominal pain usually occur within 2-3 hours after ingestion of toxic doses of the drug. In severe poisoning; CNS stimulation; excitement; and delirium may occur initially. This may be followed by CNS depression; stupor; hypothermia; marked prostration; rapid shallow breathing; rapid weak irregular pulse; low blood pressure; and circulatory failure. When an individual has ingested a toxic dose of acetaminophen; the individual should be hospitalized for several days of observation; even if there are no apparent ill effects; because maximum liver damage and/or cardiotoxic effects usually do not become apparent until 2-4 days after ingestion of the drug. Other symptoms of acute poisoning include cerebral edema and nonspecific myocardial depression. Vascular collapse results from the relative hypoxia and from a central depressant action that occurs only with massive doses. Shock may develop if vasodilation is marked. Fatal seizures may occur. Coma usually precedes death; which may occur suddenly or may be delayed for several days. Biopsy of the liver reveals centralobular necrosis with sparing of the periportal area. There have been reports of acute myocardial necrosis and pericarditis in individuals with acetaminophen poisoning. Hypoglycemia; which can progress to coma have been reported in patients ingesting toxic doses of acetaminophen. Low prothrombin levels and thrombocytopenia have been reported in patients with acetaminophen poisoning. Skin reactions of an erythematous or urticarial nature which may be accompanied by fever and oral mucosal lesions also have been reported. For use anytime during pregnancy; 781 exposures were recorded; and possible associations with congenital dislocation of the hip (eight cases) and clubfoot (six cases) were found. There is inadequate evidence in humans for the carcinogenicity of acetaminophen. ANIMAL TOXICITY STUDIES: There is inadequate evidence in experimental animals for the carcinogenicity of acetaminophen. In rats fasted 24 hours and given a single dose of acetaminophen (2 g/kg) by gavage; liver necrosis around the central vein was noted at 9-12 hours and was much more extensive at 24 hours after treatment. In mice after dietary exposure to acetaminophen up to 6400 mg/kg daily for 13 weeks hepatotoxicity; organ weight changes and deaths were observed. Cats are particularly susceptible to acetaminophen intoxication; developing more diffuse liver changes; while hepatic centrilobular lesions found in dogs. High doses of acetaminophen caused testicular atrophy and delay in spermiogenesis in mice. Furthermore; reductions in the fertility and neonatal survival in mice were seen in the F0 generation and decreases in F1 pup weights were found at acetaminophen dose 1430 mg/kg. Acetaminophen was not mutagenic in Salmonella typhimurium assay with or without metabolic activation in six strains: TA1535; TA1537; TA1538; TA100; TA97 and TA98. In vitro and animal data indicate that small quantities of acetaminophen are metabolized by a cytochrome P-450 microsomal enzyme to a reactive intermediate metabolite (N-acetyl-p-benzoquinoneimine; N-acetylimidoquinone; NAPQI) which is further metabolized via conjugation with glutathione and ultimately excreted in urine as a mercapturic acid. It has been suggested that this intermediate metabolite is responsible for acetaminophen-induced liver necrosis in cases of overdose. Excipients found in liquid formulations of acetaminophen may decrease its liver toxicity. ECOTOXICITY STUDIES: Daphnia magna was the most susceptible among the test organisms to the environmental effects of acetaminophen. Acetaminophen has recently been identified as a promising snake toxicant to reduce brown tree snake populations on Guam; while posing only the minimal risks to non-target rodents; cats; pigs and birds. | Each year; approximately 500 fatalities and 50;000 emergency department admissions in the United States are linked to acetaminophen. In 2021; US poison control centers recorded over 80;000 cases. Acetaminophen is the most prevalent drug-related cause of acute liver failure; with hepatic injury occurring as a consequence of the drug's metabolism properties. After reaching therapeutic concentrations of oral acetaminophen; 60% to 90% of the drug undergoes metabolism in the liver; forming glucuronic acid- and sulfate-conjugate metabolites. A smaller fraction; approximately 5% to 15%; undergoes metabolism via the cytochrome P450 system (CYP450)—metabolism primarily through CYP2E1 results in the formation of the toxic intermediate NAPQI.,Fresh air; rest. | Rinse and then wash skin with water and soap.,Flash point data for this chemical are not available; however; it is probably combustible. (NTP; 1992),Stable under recommended storage conditions.
